matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
2H,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,10,8,2,0,0,0,1,0,1,2,2,0,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,Midfielder,1
2H,14,13,1,0,0,0,1,0,1,0,0,0,15,8,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,22,21,1,0,0,0,2,2,0,3,3,0,3,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,Defender,1
1H,5,4,1,0,0,0,0,0,0,10,5,5,7,1,5,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,Forward,1
2H,21,16,5,3,0,3,0,0,0,0,0,0,15,10,2,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,Forward,1
1H,11,8,3,2,1,1,1,1,0,4,2,2,9,0,4,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,Forward,1
2H,26,16,10,6,3,3,0,0,0,1,0,1,6,2,0,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,Defender,1
1H,8,7,1,0,0,0,2,2,0,2,2,0,4,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
2H,27,25,2,0,0,0,1,1,0,3,2,1,4,1,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,Defender,1
2H,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
2H,30,26,4,0,0,0,2,0,2,4,3,1,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,12,9,3,0,0,0,3,2,1,1,0,1,3,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,Midfielder,1
1H,8,6,2,1,0,1,1,0,1,5,4,1,6,2,2,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,Defender,1
2H,27,25,2,0,0,0,1,0,1,2,1,1,9,5,3,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,Midfielder,1
1H,16,11,5,1,0,1,0,0,0,4,3,1,15,5,6,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,Forward,1
1H,16,11,5,2,1,1,1,1,0,2,1,1,16,3,5,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Forward,1
E1,4,2,2,1,0,1,0,0,0,0,0,0,5,3,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
1H,9,8,1,0,0,0,0,0,0,4,1,3,13,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,14,11,3,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,Midfielder,1
1H,30,26,4,2,1,1,1,1,0,0,0,0,9,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
2H,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Goalkeeper,1
