matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType,PlayerName,MatchLabel
1694416,1H,3757,20628,8,3,5,0,0,0,0,0,0,5,2,3,11,1,6,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,Forward,GrazianoPell\u00e8,"Italy - Sweden, 1 - 0"
1694418,2H,3757,20395,13,9,4,1,1,1,1,1,0,0,0,0,7,4,3,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,16,Defender,MattiaDe Sciglio,"Italy - Republic of Ireland, 0 - 1"
1694431,2H,10451,299557,18,16,2,0,0,0,0,0,0,2,0,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Midfielder,\u00c1d\u00e1mNagy,"Hungary - Belgium, 0 - 4"
1694435,1H,5629,134769,15,11,4,3,0,0,0,0,0,1,0,1,10,5,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,15,Forward,YannickFerreira Carrasco,"Wales - Belgium, 3 - 1"
1694431,1H,5629,38021,24,20,4,1,1,1,2,1,1,0,0,0,8,3,5,7,1,4,3,1,1,0,0,5,4,1,0,0,0,0,0,0,24,Midfielder,KevinDe Bruyne,"Hungary - Belgium, 0 - 4"
1694423,1H,9109,14688,16,15,1,0,0,0,1,1,0,1,1,0,4,0,2,2,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,22,Defender,SebastianPr\u00f6dl,"Portugal - Austria, 0 - 0"
1694417,2H,5629,134769,12,11,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,Forward,YannickFerreira Carrasco,"Belgium - Republic of Ireland, 3 - 0"
1694392,2H,11944,20596,13,11,2,3,2,2,0,0,0,0,0,0,17,4,8,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,14,Midfielder,Gabriel AndreiTorje,"Romania - Switzerland, 1 - 1"
1694394,2H,6697,14922,31,28,3,2,0,0,2,2,0,1,0,1,10,6,3,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,32,Defender,Ricardo Iv\u00e1nRodr\u00edguez Araya,"Switzerland - France, 0 - 0"
1694397,1H,14358,15022,23,20,3,0,0,0,1,1,0,2,1,1,7,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,Defender,Roman PetrovichNeust\u00e4dter,"England - Russia, 1 - 1"
1694398,2H,14358,101581,47,45,2,0,0,0,3,2,1,3,1,2,7,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48,Defender,VasiliBerezutski,"Russia - Slovakia, 1 - 2"
1694429,2H,4418,25714,34,29,5,3,1,1,4,3,1,0,0,0,7,5,1,6,0,3,2,1,0,0,0,4,1,3,0,0,0,0,0,0,35,Midfielder,Dimitri Payet,"France - Republic of Ireland, 2 - 1"
1694405,2H,3148,14806,11,10,1,0,0,0,0,0,0,1,0,1,12,3,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,Midfielder,MarioG\u00f6tze,"Germany - Poland, 0 - 0"
1694428,E1,9905,37762,4,4,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,Midfielder,WilliamSilva de Carvalho,"Croatia - Portugal, 0 - 1 (E)"
1694427,1H,10682,8278,22,14,8,2,0,0,4,0,4,3,1,2,12,6,2,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,23,Forward,Gareth FrankBale,"Wales - Northern Ireland, 1 - 0"
1694439,1H,3148,14862,30,26,4,1,1,1,1,0,1,2,0,2,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Midfielder,JulianDraxler,"Germany - France, 0 - 2"
1694434,E1,9905,70093,11,9,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,MidfielderSubstitute,Jo\u00e3o FilipeIria Santos Moutinho,"Poland - Portugal, 1 - 1 (P)"
1694405,1H,13869,99452,8,5,3,1,0,0,0,0,0,8,4,4,11,1,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,11,Forward,ArkadiuszMilik,"Germany - Poland, 0 - 0"
1694406,2H,14622,105371,44,44,0,0,0,0,0,0,0,2,1,1,6,2,3,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,46,Midfielder,RuslanRotan,"Ukraine - Poland, 0 - 1"
1694440,1H,9905,70403,23,18,5,0,0,0,1,1,0,1,1,0,12,2,6,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,26,Midfielder,Adrien SebastianPerruchet Silva,"Portugal - France, 1 - 0 (E)"
1694395,2H,8731,49857,3,2,1,0,0,0,1,1,0,1,1,0,2,2,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,5,Defender,ArlindAjeti,"Romania - Albania, 0 - 1"
1694417,2H,8274,8980,36,34,2,1,0,0,1,0,1,0,0,0,9,2,5,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,39,Midfielder,JeffHendrick,"Belgium - Republic of Ireland, 3 - 0"
1694434,E2,13869,269189,5,4,1,1,0,0,1,1,0,1,0,1,5,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,MidfielderSubstitute,BartoszKapustka,"Poland - Portugal, 1 - 1 (P)"
1694422,1H,7839,57226,8,8,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Goalkeeper,Hannes \u00de\u00f3rHalld\u00f3rsson,"Iceland - Hungary, 1 - 1"
1694420,2H,9109,70100,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,MarcJanko,"Austria - Hungary, 0 - 2"
1694433,2H,2413,8301,6,5,1,0,0,0,3,2,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,Goalkeeper,JoeHart,"England - Iceland, 1 - 2"
1694398,2H,14496,218896,4,4,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,Midfielder,OndrejDuda,"Russia - Slovakia, 1 - 2"
1694419,2H,7047,33091,3,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MidfielderSubstitute,ErkanZengin,"Sweden - Belgium, 0 - 1"
1694426,P,6697,49872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Midfielder,XherdanShaqiri,"Switzerland - Poland, 1 - 1 (P)"
1694390,1H,11944,6165,4,3,1,0,0,0,0,0,0,3,2,1,23,3,11,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,Forward,FlorinAndone,"France - Romania, 2 - 1"
1694427,1H,10962,80019,9,6,3,2,0,0,0,0,0,2,2,0,11,4,5,7,2,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,14,Midfielder,StuartDallas,"Wales - Northern Ireland, 1 - 0"
1694409,2H,1598,3306,43,41,2,1,1,1,2,1,1,7,3,4,8,3,2,1,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,46,Defender,SergioRamos Garc\u00eda,"Spain - Czech Republic, 1 - 0"
1694418,2H,3757,21095,11,8,3,2,0,0,0,0,0,1,1,0,6,1,2,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14,DefenderSubstitute,MatteoDarmian,"Italy - Republic of Ireland, 0 - 1"
1694422,1H,10451,7980,45,41,4,0,0,0,2,2,0,5,4,1,3,1,2,5,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,48,Defender,Tam\u00e1sK\u00e1d\u00e1r,"Iceland - Hungary, 1 - 1"
1694419,1H,7047,71703,13,10,3,0,0,0,0,0,0,3,1,2,6,1,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,15,Defender,VictorNilsson Lindel\u00f6f,"Sweden - Belgium, 0 - 1"
1694394,2H,6697,20465,21,16,5,2,0,0,1,1,0,0,0,0,5,1,1,6,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,23,Defender,StephanLichtsteiner,"Switzerland - France, 0 - 0"
1694415,2H,3757,20458,15,12,3,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,18,Defender,AndreaBarzagli,"Belgium - Italy, 0 - 2"
1694427,2H,10962,9620,16,14,2,1,1,1,1,0,1,0,0,0,12,2,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,Midfielder,CorryEvans,"Wales - Northern Ireland, 1 - 0"
1694405,2H,13869,99452,10,6,4,0,0,0,0,0,0,1,0,1,9,3,4,4,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,14,Forward,ArkadiuszMilik,"Germany - Poland, 0 - 0"
1694426,E1,13869,99381,6,5,1,0,0,0,0,0,0,1,1,0,6,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,Defender,ArturJ\u0119drzejczyk,"Switzerland - Poland, 1 - 1 (P)"
1694412,2H,9598,135747,9,7,2,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,Goalkeeper,DanijelSuba\u0161i\u0107,"Croatia - Spain, 2 - 1"
1694427,1H,10682,77544,14,10,4,3,1,1,1,1,0,3,0,3,6,2,2,7,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,18,Defender,NeilTaylor,"Wales - Northern Ireland, 1 - 0"
