matchId,matchPeriod,teamId,playerId,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_set_play,Goals_from_penalty,Own_goals,Yellow_card,Red_card,Total_touches,PlayerType
1694433,2H,2413,8292,22,21,1,1,1,0,3,2,1,1,0,1,13,8,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,Defender
1694407,2H,3148,14731,3,2,1,0,0,0,0,0,0,3,1,2,4,1,2,0,2,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,7,Forward
1694434,1H,13869,99446,15,14,1,0,0,0,0,0,0,3,2,1,8,3,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,Midfielder
1694418,2H,8274,8346,6,4,2,1,1,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,MidfielderSubstitute
1694401,1H,10682,9127,10,8,2,1,0,1,0,0,0,8,5,3,3,3,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,10,Forward
1694406,1H,13869,269189,13,10,3,0,0,0,0,0,0,0,0,0,11,3,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,Midfielder
1694421,2H,7839,57226,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6,Goalkeeper
1694422,1H,7839,54451,14,13,1,2,1,1,1,1,0,2,2,0,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,Defender
1694429,1H,8274,8603,7,4,3,0,0,0,1,0,1,8,2,6,15,2,6,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,9,Forward
1694435,1H,5629,278872,16,16,0,0,0,0,1,1,0,1,1,0,12,5,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,Defender
