matchId,playerId,PlayerName
1694430,14732,ThomasM\u00fcller
1694423,16126,RobertAlmer
1694416,22566,Alessandro Florenzi
1694395,21001,Elseid G\u00ebzimHysaj
1694396,65090,Du\u0161an\u0160vento
1694436,14732,ThomasM\u00fcller
1694437,7855,LaurentKoscielny
1694391,49855,YannSommer
1694420,15206,G\u00e1borKir\u00e1ly
1694432,7910,Davidde Gea Quintana
1694435,122,DriesMertens
1694426,14798,\u0141ukaszPiszczek
1694426,25537,GrzegorzKrychowiak
1694393,7858,BacarySagna
1694396,32959,PeterPekar\u00edk
1694399,7922,ChrisSmalling
1694428,258162,Renato J\u00faniorLuz Sanches
1694412,212604,TinJedvaj
1694429,26010,OlivierGiroud
1694435,3429,ThibautCourtois
1694420,75131,AttilaFiola
1694437,77521,Aron EinarGunnarsson
1694418,25421,SalvatoreSirigu
1694407,9403,CraigCathcart
1694406,7847,\u0141ukaszFabia\u0144ski
1694440,7858,BacarySagna
1694418,8658,StephenQuinn
1694412,3476,IvanRakiti\u0107
1694439,25575,Andr\u00e9-PierreGignac
1694421,93,Johann Berg Gu\u00f0munds\u00adson
1694440,25714,Dimitri Payet
1694420,14724,DavidOlatukunbo Alaba
1694397,257800,AleksandrGolovin
1694410,69409,\u0160imeVrsaljko
1694402,7914,JonnyEvans
1694413,21351,DanielPudil
1694400,12829,JamieVardy
1694426,99452,ArkadiuszMilik
1694403,3318,SamiKhedira
1694392,20596,Gabriel AndreiTorje
1694440,7926,Lu\u00eds CarlosAlmeida da Cunha
1694399,8686,HalRobson-Kanu
1694426,14922,Ricardo Iv\u00e1nRodr\u00edguez Araya
1694426,49872,XherdanShaqiri
1694422,21314,EmilHallfre\u00f0sson
1694422,77521,Aron EinarGunnarsson
1694393,15285,OdiseRoshi
1694418,9623,RobbieBrady
1694419,37824,ThomasMeunier
1694433,77521,Aron EinarGunnarsson
1694392,83824,Mihai DoruPintilii
1694402,9403,CraigCathcart
1694390,83575,Vlad IulianChiriche\u0219
1694401,9615,JamesChester
1694409,82518,Vladim\u00edrDarida
1694428,3476,IvanRakiti\u0107
1694396,78488,Mat\u00fa\u0161Koz\u00e1\u010dik
1694403,105503,SerhiySydorchuk
1694403,20612,ShkodranMustafi
1694403,241564,OleksandrZinchenko
1694402,9403,CraigCathcart
1694439,25397,Samuel YvesUmtiti
1694399,8425,Wayne Hennessey
1694400,7887,Gary Cahill
1694432,20468,EmanueleGiaccherini
1694398,101576,IgorAkinfeev
1694418,8624,JamesMcCarthy
1694406,7847,\u0141ukaszFabia\u0144ski
1694431,25707,EdenHazard
